"","file","group","treatment","tissue","magnification","sample_id","method","background","brain","deposition","deposition_frac","group_treatment","deposition_percent"
"1","WT_control_cerebellum_4x_01_mask.tif","WT","control","cerebellum","4x","01","mask",734067,1345317,408,0.000303274246887537,"WT_control",0.0303274246887537
"2","WT_control_cerebellum_4x_02_mask.tif","WT","control","cerebellum","4x","02","mask",1638580,1974801,1811,0.000917054427256215,"WT_control",0.0917054427256215
"3","WT_control_cerebellum_4x_03_mask.tif","WT","control","cerebellum","4x","03","mask",1134670,1352621,425,0.000314204792029696,"WT_control",0.0314204792029696
"4","WT_control_cerebellum_4x_04_mask.tif","WT","control","cerebellum","4x","04","mask",1077840,1364816,304,0.000222740647823589,"WT_control",0.0222740647823589
"5","WT_control_cerebellum_4x_05_mask.tif","WT","control","cerebellum","4x","05","mask",604966,1274889,177,0.000138835616277182,"WT_control",0.0138835616277182
"6","WT_control_cerebellum_4x_06_mask.tif","WT","control","cerebellum","4x","06","mask",814544,698645,155,0.000221858025177307,"WT_control",0.0221858025177307
"7","WT_control_cerebellum_4x_07_mask.tif","WT","control","cerebellum","4x","07","mask",1630559,1525896,257,0.000168425633201739,"WT_control",0.0168425633201739
"8","WT_control_cerebellum_4x_08_mask.tif","WT","control","cerebellum","4x","08","mask",1408909,1584650,117,7.38333385921181e-05,"WT_control",0.00738333385921181
"9","WT_control_cerebellum_4x_09_mask.tif","WT","control","cerebellum","4x","09","mask",1395253,1549456,121,7.80919238752181e-05,"WT_control",0.00780919238752181
"10","WT_control_cerebellum_4x_10_mask.tif","WT","control","cerebellum","4x","10","mask",1061817,1430154,70,4.89457778672786e-05,"WT_control",0.00489457778672786
"11","WT_control_cerebellum_4x_11_mask.tif","WT","control","cerebellum","4x","11","mask",1070056,1064909,283,0.000265750406842275,"WT_control",0.0265750406842275
"12","WT_control_cerebellum_4x_12_mask.tif","WT","control","cerebellum","4x","12","mask",1319096,1305630,382,0.000292579061449262,"WT_control",0.0292579061449262
"13","WT_control_cerebellum_4x_13_mask.tif","WT","control","cerebellum","4x","13","mask",2090207,1147070,416,0.000362663133025883,"WT_control",0.0362663133025883
"14","WT_control_cerebellum_4x_14_mask.tif","WT","control","cerebellum","4x","14","mask",608569,978080,467,0.000477466055946344,"WT_control",0.0477466055946344
"15","WT_control_cerebellum_4x_15_mask.tif","WT","control","cerebellum","4x","15","mask",540535,1012935,262,0.000258654306544842,"WT_control",0.0258654306544842
"16","WT_control_cerebellum_4x_16_mask.tif","WT","control","cerebellum","4x","16","mask",567782,996144,346,0.000347339340496956,"WT_control",0.0347339340496956
"17","WT_control_cerebellum_4x_17_mask.tif","WT","control","cerebellum","4x","17","mask",503574,1009238,326,0.000323015978391618,"WT_control",0.0323015978391618
"18","WT_control_cerebellum_4x_18_mask.tif","WT","control","cerebellum","4x","18","mask",1179072,1612685,846,0.00052459097715921,"WT_control",0.052459097715921
"19","WT_control_cerebellum_4x_19_mask.tif","WT","control","cerebellum","4x","19","mask",722340,1174754,286,0.000243455225519556,"WT_control",0.0243455225519556
"20","WT_control_cerebellum_4x_20_mask.tif","WT","control","cerebellum","4x","20","mask",1140972,692245,308,0.000444929179697939,"WT_control",0.0444929179697939
